beverage_category,beverage,beverage_prep,calories,total fat,trans fat,saturated fat,sodium,total carbohydrates,cholesterol,dietary fibre,sugars,protein,vitamin a,vitamin c,calcium,iron,caffeine
signature espresso drinks,white chocolate mocha (without whipped cream),Soymilk,460,13.0,6.0,0.0,5,290,70,1,64,16.0,15,2,60,20,150.0
signature espresso drinks,hot chocolate (without whipped cream),Short Nonfat Milk,130,1.5,1.0,0.0,5,70,26,1,23,7.0,10,0,20,10,10.0
signature espresso drinks,hot chocolate (without whipped cream),2% Milk,150,4.5,2.5,0.1,15,80,26,1,22,7.0,10,0,20,10,10.0
signature espresso drinks,hot chocolate (without whipped cream),Soymilk,130,3.5,1.0,0.0,0,60,23,2,18,6.0,6,0,20,20,10.0
signature espresso drinks,hot chocolate (without whipped cream),Tall Nonfat Milk,190,2.0,1.0,0.0,5,110,37,1,32,11.0,15,0,30,20,20.0
signature espresso drinks,hot chocolate (without whipped cream),2% Milk,230,7.0,3.5,0.2,20,120,37,1,32,10.0,15,0,30,20,20.0
signature espresso drinks,hot chocolate (without whipped cream),Soymilk,200,6.0,1.5,0.0,0,95,32,2,25,9.0,10,0,30,30,20.0
signature espresso drinks,hot chocolate (without whipped cream),Grande Nonfat Milk,240,2.5,1.5,0.0,5,140,48,2,41,14.0,20,0,40,25,25.0
signature espresso drinks,hot chocolate (without whipped cream),2% Milk,290,9.0,5.0,0.2,25,160,47,2,41,14.0,20,2,40,25,25.0
signature espresso drinks,hot chocolate (without whipped cream),Soymilk,250,7.0,2.0,0.0,0,125,41,3,32,12.0,15,0,40,40,25.0
signature espresso drinks,hot chocolate (without whipped cream),Venti Nonfat Milk,320,3.0,2.0,0.0,10,180,63,2,55,18.0,25,0,50,30,30.0
signature espresso drinks,hot chocolate (without whipped cream),2% Milk,380,11.0,6.0,0.3,35,200,63,2,54,17.0,25,2,50,30,30.0
signature espresso drinks,hot chocolate (without whipped cream),Soymilk,330,9.0,2.5,0.0,0,160,55,4,44,15.0,15,0,50,50,30.0
signature espresso drinks,caramel apple spice (without whipped cream),Short,140,0.0,0.0,0.0,0,10,35,0,33,0.0,0,0,0,0,0.0
signature espresso drinks,caramel apple spice (without whipped cream),Tall,210,0.0,0.0,0.0,0,15,53,0,49,0.0,0,0,0,0,0.0
signature espresso drinks,caramel apple spice (without whipped cream),Grande,280,0.0,0.0,0.0,0,20,70,0,65,0.0,0,0,0,0,0.0
signature espresso drinks,caramel apple spice (without whipped cream),Venti,360,0.0,0.0,0.0,0,25,89,0,83,0.0,0,0,0,0,0.0
tazo tea drinks,tazo tea,Short,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,89.52054794520548
tazo tea drinks,tazo tea,Tall,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,89.52054794520548
tazo tea drinks,tazo tea,Grande,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,89.52054794520548
tazo tea drinks,tazo tea,Venti,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,89.52054794520548
tazo tea drinks,tazo chai tea latte,Short Nonfat Milk,100,0.1,0.1,0.0,0,50,22,0,21,4.0,6,0,10,0,50.0
tazo tea drinks,tazo chai tea latte,2% Milk,120,2.0,1.0,0.1,10,55,22,0,21,4.0,6,0,10,0,50.0
tazo tea drinks,tazo chai tea latte,Soymilk,110,1.5,0.2,0.0,0,45,20,0,18,3.0,4,0,10,6,50.0
tazo tea drinks,tazo chai tea latte,Tall Nonfat Milk,160,0.2,0.1,0.0,5,80,34,0,32,6.0,10,0,20,2,70.0
tazo tea drinks,tazo chai tea latte,2% Milk,190,3.5,1.5,0.1,15,90,34,0,32,6.0,10,0,20,2,70.0
tazo tea drinks,tazo chai tea latte,Soymilk,160,2.5,0.3,0.0,0,70,31,1,28,5.0,6,0,20,10,70.0
tazo tea drinks,tazo chai tea latte,Grande Nonfat Milk,210,0.2,0.1,0.0,5,105,45,0,43,8.0,15,0,25,2,95.0
tazo tea drinks,tazo chai tea latte,2% Milk,240,4.5,2.0,0.1,20,115,45,0,42,8.0,10,0,25,2,95.0
tazo tea drinks,tazo chai tea latte,Soymilk,220,3.5,0.4,0.0,0,90,41,1,37,6.0,8,0,25,10,95.0
tazo tea drinks,tazo chai tea latte,Venti Nonfat Milk,260,0.3,0.2,0.0,5,135,57,0,54,10.0,15,0,35,2,120.0
tazo tea drinks,tazo chai tea latte,2% Milk,310,6.0,3.0,0.2,25,150,56,0,53,10.0,15,2,30,2,120.0
tazo tea drinks,tazo chai tea latte,Soymilk,280,4.5,0.5,0.0,0,115,51,1,46,8.0,10,0,30,15,120.0
tazo tea drinks,tazo green tea latte,Short Nonfat Milk,130,0.2,0.1,0.0,5,85,26,0,25,7.0,10,4,20,2,25.0
tazo tea drinks,tazo green tea latte,2% Milk,170,4.0,2.0,0.1,15,95,26,0,25,7.0,10,6,20,2,25.0
tazo tea drinks,tazo green tea latte,Soymilk,140,3.0,0.4,0.0,0,70,22,1,20,6.0,8,4,20,10,25.0
tazo tea drinks,tazo green tea latte,Tall Nonfat Milk,210,0.4,0.2,0.0,5,125,42,1,41,11.0,20,10,35,4,55.0
tazo tea drinks,tazo green tea latte,2% Milk,260,6.0,3.0,0.2,25,140,41,1,40,10.0,15,10,35,4,55.0
tazo tea drinks,tazo green tea latte,Soymilk,230,4.5,0.5,0.0,0,110,36,2,33,9.0,10,10,35,15,55.0
tazo tea drinks,tazo green tea latte,Grande Nonfat Milk,290,0.5,0.2,0.0,10,160,57,1,56,14.0,25,15,45,4,80.0
tazo tea drinks,tazo green tea latte,2% Milk,350,8.0,4.0,0.2,30,180,57,1,55,14.0,20,15,45,4,80.0
tazo tea drinks,tazo green tea latte,Soymilk,310,6.0,1.0,0.0,0,140,50,3,46,11.0,15,15,45,25,80.0
tazo tea drinks,tazo green tea latte,Venti Nonfat Milk,370,0.5,0.3,0.0,10,200,73,2,71,18.0,30,20,60,6,110.0
tazo tea drinks,tazo green tea latte,2% Milk,450,10.0,5.0,0.3,40,230,72,2,71,17.0,25,20,50,6,110.0
tazo tea drinks,tazo green tea latte,Soymilk,390,8.0,1.0,0.0,0,180,64,4,58,14.0,20,20,60,30,110.0
tazo tea drinks,tazo fullleaf tea latte,Short Nonfat Milk,80,0.1,0.1,0.0,0,45,16,0,16,4.0,6,0,10,0.00,89.52054794520548
tazo tea drinks,tazo fullleaf tea latte,2% Milk,90,2.0,1.0,0.1,10,50,15,0,15,3.0,6,0,10,0.00,89.52054794520548
tazo tea drinks,tazo fullleaf tea latte,Soymilk,80,1.5,0.2,0.0,0,40,14,0,13,3.0,4,0,10,6.00,89.52054794520548
tazo tea drinks,tazo fullleaf tea latte,Tall Nonfat Milk,120,0.1,0.1,0.0,5,65,23,0,23,5.0,10,0,20,0.00,89.52054794520548
tazo tea drinks,tazo fullleaf tea latte,2% Milk,140,3.0,1.5,0.1,15,75,23,0,23,5.0,8,0,15,0.00,89.52054794520548
tazo tea drinks,tazo fullleaf tea latte,Soymilk,130,2.5,0.3,0.0,0,60,21,1,19,4.0,6,0,20,8.00,89.52054794520548
tazo tea drinks,tazo fullleaf tea latte,Grande Nonfat Milk,150,0.2,0.1,0.0,5,85,31,0,31,7.0,15,0,25,0.00,89.52054794520548
tazo tea drinks,tazo fullleaf tea latte,2% Milk,190,4.0,2.0,0.1,15,95,31,0,30,7.0,10,0,25,0.00,89.52054794520548
tazo tea drinks,tazo fullleaf tea latte,Soymilk,170,3.5,0.4,0.0,0,80,27,1,25,6.0,8,0,25,10.00,89.52054794520548
tazo tea drinks,tazo fullleaf tea latte,Venti Nonfat Milk,190,0.2,0.1,0.0,5,110,39,0,39,9.0,15,0,30,0.00,89.52054794520548
tazo tea drinks,tazo fullleaf tea latte,2% Milk,230,5.0,2.5,0.2,20,125,38,0,38,9.0,15,0,30,0.00,89.52054794520548
tazo tea drinks,tazo fullleaf tea latte,Soymilk,210,4.0,0.5,0.0,0,100,34,1,32,7.0,10,0,30,15.00,89.52054794520548
tazo tea drinks,tazo fullleaf red tea latte (vanilla rooibos),Short Nonfat Milk,80,0.1,0.1,0.0,0,45,16,0,16,4.0,6,0,10,0,0.0
tazo tea drinks,tazo fullleaf red tea latte (vanilla rooibos),2% Milk,90,2.0,1.0,0.1,10,50,15,0,15,3.0,6,0,10,0,0.0
tazo tea drinks,tazo fullleaf red tea latte (vanilla rooibos),Soymilk,80,1.5,0.2,0.0,0,40,14,0,13,3.0,4,0,10,6,0.0
tazo tea drinks,tazo fullleaf red tea latte (vanilla rooibos),Tall Nonfat Milk,120,0.1,0.1,0.0,5,65,23,0,23,5.0,10,0,20,0,0.0
tazo tea drinks,tazo fullleaf red tea latte (vanilla rooibos),2% Milk,140,3.0,1.5,0.1,15,75,23,0,23,5.0,8,0,15,0,0.0
tazo tea drinks,tazo fullleaf red tea latte (vanilla rooibos),Soymilk,130,2.5,0.3,0.0,0,60,21,1,19,4.0,6,0,20,8,0.0
tazo tea drinks,tazo fullleaf red tea latte (vanilla rooibos),Grande Nonfat Milk,150,0.2,0.1,0.0,5,85,31,0,31,7.0,15,0,25,0,0.0
tazo tea drinks,tazo fullleaf red tea latte (vanilla rooibos),2% Milk,190,4.0,2.0,0.1,15,95,31,0,30,7.0,10,0,25,0,0.0
tazo tea drinks,tazo fullleaf red tea latte (vanilla rooibos),Soymilk,170,3.5,0.4,0.0,0,80,27,1,25,6.0,8,0,25,10,0.0
tazo tea drinks,tazo fullleaf red tea latte (vanilla rooibos),Venti Nonfat Milk,190,0.2,0.1,0.0,5,110,39,0,39,9.0,15,0,30,0,0.0
tazo tea drinks,tazo fullleaf red tea latte (vanilla rooibos),2% Milk,230,5.0,2.5,0.2,20,125,38,0,38,9.0,15,0,30,0,0.0
tazo tea drinks,tazo fullleaf red tea latte (vanilla rooibos),Soymilk,210,4.0,0.5,0.0,0,100,34,1,32,7.0,10,0,30,15,0.0
shaken iced beverages,iced brewed coffee (with classic syrup),Tall,60,0.0,0.0,0.0,0,4,15,0,15,0.2,0,0,0,0,120.0
shaken iced beverages,iced brewed coffee (with classic syrup),Grande,90,0.1,0.0,0.0,0,5,21,0,21,0.3,0,0,0,0,165.0
shaken iced beverages,iced brewed coffee (with classic syrup),Venti,130,0.1,0.0,0.0,0,5,31,0,31,0.4,0,0,0,0,235.0
shaken iced beverages,iced brewed coffee (with milk  classic syrup),Tall Nonfat Milk,80,0.1,0.0,0.0,0,25,18,0,18,2.0,2,0,6,0,90.0
shaken iced beverages,iced brewed coffee (with milk  classic syrup),2% Milk,90,1.0,0.5,0.0,5,25,18,0,18,2.0,2,0,6,0.00,89.52054794520548
shaken iced beverages,iced brewed coffee (with milk  classic syrup),Soymilk,80,1.0,0.1,0.0,0,20,17,0,17,2.0,2,0,6,0,90.0
shaken iced beverages,iced brewed coffee (with milk  classic syrup),Grande Nonfat Milk,110,0.1,0.0,0.0,0,30,24,0,24,2.0,4,0,8,2,90.0
shaken iced beverages,iced brewed coffee (with milk  classic syrup),2% Milk,120,1.5,0.5,0.0,5,35,24,0,24,2.0,4,0,8,0,125.0
shaken iced beverages,iced brewed coffee (with milk  classic syrup),Soymilk,110,1.0,0.1,0.0,0,30,23,0,22,2.0,2,0,8,0,125.0
shaken iced beverages,iced brewed coffee (with milk  classic syrup),Venti Nonfat Milk,160,0.1,0.1,0.0,0,50,36,0,36,4.0,6,0,10,4,125.0
shaken iced beverages,iced brewed coffee (with milk  classic syrup),2% Milk,180,2.0,1.0,0.1,10,55,36,0,36,4.0,6,0,10,0,170.0
shaken iced beverages,iced brewed coffee (with milk  classic syrup),Soymilk,170,1.5,0.2,0.0,0,45,34,0,33,3.0,4,0,10,0,170.0
shaken iced beverages,shaken iced tazo tea (with classic syrup),Tall,60,0.0,0.0,0.0,0,0,15,0,15,0.0,0,0,0,6,170.0
shaken iced beverages,shaken iced tazo tea (with classic syrup),Grande,80,0.0,0.0,0.0,0,0,21,0,21,0.0,0,0,0,0,89.52054794520548
shaken iced beverages,shaken iced tazo tea (with classic syrup),Venti,120,0.0,0.0,0.0,0,0,31,0,31,0.0,0,0,0,0,89.52054794520548
shaken iced beverages,shaken iced tazo tea lemonade (with classic syrup),Tall,100,0.0,0.0,0.0,0,0,25,0,24,0.1,0,10,0,0,89.52054794520548
shaken iced beverages,shaken iced tazo tea lemonade (with classic syrup),Grande,130,0.0,0.0,0.0,0,0,33,0,33,0.1,0,15,0,0,89.52054794520548
shaken iced beverages,shaken iced tazo tea lemonade (with classic syrup),Venti,190,0.0,0.0,0.0,0,0,49,0,49,0.1,0,20,0,0,89.52054794520548
smoothies,banana chocolate smoothie,Grande Nonfat Milk,280,2.5,1.5,0.0,5,150,53,7,34,20.0,10,15,20,0,89.52054794520548
smoothies,banana chocolate smoothie,2% Milk,300,5.0,2.5,0.1,15,160,53,7,34,20.0,8,15,20,20,15.0
smoothies,banana chocolate smoothie,Soymilk,290,4.5,1.5,0.0,5,150,51,7,31,19.0,6,15,20,20,15.0
smoothies,orange mango banana smoothie,Grande Nonfat Milk,260,1.0,0.3,0.0,5,120,54,6,37,16.0,50,80,10,30,15.0
smoothies,orange mango banana smoothie,2% Milk,270,1.5,0.5,0.0,5,125,53,6,37,16.0,50,80,10,6,0.0
smoothies,orange mango banana smoothie,Soymilk,270,1.5,0.4,0.0,5,120,53,6,36,15.0,50,80,10,6,0.0
smoothies,strawberry banana smoothie,Grande Nonfat Milk,290,1.0,0.3,0.0,5,125,58,7,41,16.0,4,100,10,8,0.0
smoothies,strawberry banana smoothie,2% Milk,290,2.0,1.0,0.0,5,125,58,7,41,16.0,4,100,10,8,0.0
smoothies,strawberry banana smoothie,Soymilk,290,2.0,0.4,0.0,5,120,58,8,40,16.0,2,100,10,8,0.0
frappuccino blended coffee,coffee,Tall Nonfat Milk,160,0.1,0.0,0.0,0,160,36,0,36,3.0,4,0,10,10,0.0
frappuccino blended coffee,coffee,Whole Milk,180,2.5,1.5,0.1,10,160,36,0,36,3.0,4,0,8,0,70.0
frappuccino blended coffee,coffee,Soymilk,160,1.5,0.2,0.0,0,150,35,0,34,2.0,4,0,10,0,70.0
frappuccino blended coffee,coffee,Grande Nonfat Milk,220,0.1,0.1,0.0,0,210,51,0,50,4.0,6,0,10,4,70.0
frappuccino blended coffee,coffee,Whole Milk,240,3.0,2.0,0.1,10,220,50,0,50,3.0,4,0,10,0,95.0
frappuccino blended coffee,coffee,Soymilk,220,1.5,0.2,0.0,0,210,49,0,47,3.0,4,0,10,0,95.0
frappuccino blended coffee,coffee,Venti Nonfat Milk,310,0.1,0.1,0.0,5,300,70,0,69,6.0,10,0,20,6,95.0
frappuccino blended coffee,coffee,Whole Milk,350,5.0,3.0,0.2,15,300,70,0,69,5.0,8,0,15,2,130.0
frappuccino blended coffee,coffee,Soymilk,310,2.5,0.3,0.0,0,300,68,1,66,5.0,6,0,20,2,130.0
frappuccino blended coffee,mocha (without whipped cream),Tall Nonfat Milk,180,0.5,0.4,0.0,0,150,42,1,40,3.0,4,0,10,8,130.0
frappuccino blended coffee,mocha (without whipped cream),Whole Milk,200,3.0,2.0,0.1,10,160,42,1,40,3.0,4,0,8,6,70.0
frappuccino blended coffee,mocha (without whipped cream),Soymilk,180,2.0,0.5,0.0,0,150,40,1,38,3.0,4,0,10,10,70.0
frappuccino blended coffee,mocha (without whipped cream),Grande Nonfat Milk,260,1.0,0.5,0.0,0,220,61,1,58,4.0,6,0,10,8,110.0
frappuccino blended coffee,mocha (without whipped cream),Whole Milk,290,4.0,2.5,0.1,10,220,61,1,58,4.0,4,0,10,8,110.0
frappuccino blended coffee,mocha (without whipped cream),Soymilk,260,2.5,0.5,0.0,0,220,59,1,55,4.0,4,0,10,15,110.0
frappuccino blended coffee,mocha (without whipped cream),Venti Nonfat Milk,340,1.0,0.5,0.0,5,300,80,1,76,7.0,10,0,15,10,140.0
frappuccino blended coffee,mocha (without whipped cream),Whole Milk,390,6.0,3.5,0.1,15,300,80,1,76,6.0,8,0,15,10,140.0
frappuccino blended coffee,mocha (without whipped cream),Soymilk,350,3.0,1.0,0.0,0,290,78,2,73,6.0,6,0,20,20,140.0
frappuccino blended coffee,caramel (without whipped cream),Tall Nonfat Milk,180,0.1,0.0,0.0,0,160,42,0,41,3.0,4,0,10,0,70.0
